bits	error	median	mean	commandError	commandMedian	commandMean	precomError	precomMedian	precomMean
8	1.94001	27	27.18182	1.940009	27.000000	27.181818	0.000000	0.000000	0.000000
9	1.60114	30	29.81818	1.601136	30.000000	29.818182	0.000000	0.000000	0.000000
10	1.34840	30	30.72727	1.348400	30.000000	30.727273	0.000000	0.000000	0.000000
11	1.57826	33	32.90909	1.578261	33.000000	32.909091	0.000000	0.000000	0.000000
12	3.34120	33	33.81818	3.341203	33.000000	33.818182	0.000000	0.000000	0.000000
13	1.94001	34	34.81818	1.940009	34.000000	34.818182	0.000000	0.000000	0.000000
14	1.50756	38	38.45455	1.507557	38.000000	38.454545	0.000000	0.000000	0.000000
15	1.37510	40	39.90909	1.375103	40.000000	39.909091	0.000000	0.000000	0.000000
16	1.28629	41	41.36364	1.286291	41.000000	41.363636	0.000000	0.000000	0.000000
17	1.48324	43	43.00000	1.483240	43.000000	43.000000	0.000000	0.000000	0.000000
18	1.60114	45	45.18182	1.601136	45.000000	45.181818	0.000000	0.000000	0.000000
19	1.66242	47	47.18182	1.662419	47.000000	47.181818	0.000000	0.000000	0.000000
20	1.96792	49	49.54545	2.018100	49.000000	49.454545	0.000000	0.000000	0.000000
21	2.46798	52	51.90909	2.467977	52.000000	51.909091	0.000000	0.000000	0.000000
22	2.22792	57	57.18182	2.227922	57.000000	57.181818	0.000000	0.000000	0.000000
23	1.36182	62	61.36364	1.361817	62.000000	61.363636	0.000000	0.000000	0.000000
24	2.73695	70	68.90909	2.676497	70.000000	68.818182	0.000000	0.000000	0.000000
25	2.62159	76	76.54545	2.400757	75.000000	75.818182	0.000000	0.000000	0.000000
26	4.58852	94	93.63636	4.468069	93.000000	92.818182	0.404520	0.000000	0.181818
27	4.03620	124	123.09091	4.058661	122.000000	121.545455	0.000000	1.000000	1.000000
28	4.54673	161	160.54545	3.905707	157.000000	156.636364	0.820200	3.000000	3.545455
29	9.68316	198	200.18182	8.709452	191.000000	192.636364	1.662419	6.000000	6.818182
30	8.88615	236	235.81818	8.755258	221.000000	221.363636	1.834022	13.000000	13.818182
31	9.52127	277	278.36364	9.842394	251.000000	252.454545	1.328020	25.000000	25.181818
32	9.42145	334	329.18182	9.675649	282.000000	277.727273	1.190874	51.000000	51.272727
33	15.70408	406	410.27273	15.635624	306.000000	307.454545	3.068906	101.000000	102.272727
34	41.96492	543	544.36364	12.541567	329.000000	327.090909	35.143602	207.000000	216.545455
